TERMINAL_NUMBER,ADDRESS,LATITUDE,LONGITUDE,TEMPORARY_INSTALL
32014,Friendship Hts Metro/Wisconsin Ave & Wisconsin Cir,38.961763,-77.085998,19
31119,14th & Belmont St NW,38.921074,-77.031887,14
31634,3rd & Tingey St SE,38.87501,-77.0024,18
31120,10th & Florida Ave NW,38.920387,-77.025672,19
31635,Potomac Ave & 8th St SE,38.876737,-76.994468,15
32015,Crabbs Branch Way & Redland Rd,39.120045,-77.156985,15
32016,Fallsgrove Dr & W Montgomery Ave,39.099376,-77.188014,15
32016,Fallsgove Dr & W Montgomery Ave,39.099376,-77.188014,15
32017,Monroe St & Monroe Pl,39.083673,-77.149162,14
32018,Needwood Rd & Eagles Head Ct,39.123513,-77.15741,15
32019,East West Hwy & Blair Mill Rd,38.990249,-77.02935,15
32020,Crabbs Branch Way & Calhoun Pl,39.107709,-77.152072,15
32021,47th & Elm St,38.982456,-77.091991,15
32022,Dennis & Amherst Ave,39.025387,-77.044563,15
32023,Montgomery College/W Campus Dr & Mannakee St,39.095661,-77.159048,21
32024,Fenton St & Gist Ave,38.989724,-77.023854,11
32025,Carroll & Westmoreland Ave,38.975,-77.01121,15
32026,Carroll & Ethan Allen Ave,38.977933,-77.006472,15
32027,Battery Ln & Trolley Trail,38.992375,-77.100104,14
32028,Norfolk & Rugby Ave,38.990639,-77.100239,11
32029,Offutt Ln & Chevy Chase Dr,38.977093,-77.094589,11
32030,Broschart & Blackwell Rd,39.102099,-77.200322,15
32031,Taft St & E Gude Dr,39.094103,-77.132954,15
32032,Fleet St & Ritchie Pkwy,39.076331,-77.141378,15
32033,Piccard & W Gude Dr,39.102212,-77.177091,19
32034,Ripley & Bonifant St,38.992679,-77.029457,15
32035,Georgia Ave & Spring St,38.999388,-77.031555,11
32036,Fenton St & Ellsworth Dr,38.997033,-77.025608,14
32037,King Farm Blvd & Pleasant Dr,39.114688,-77.171487,18
32038,King Farm Blvd & Piccard Dr,39.110314,-77.182669,15
31121,Calvert St & Woodley Pl NW,38.923583,-77.050046,19
31636,New Jersey Ave & N St NW/Dunbar HS,38.90706,-77.015231,18
31710,Nannie Helen Burroughs Ave & 49th St NE,38.898536,-76.931862,11
31711,Deanwood Rec Center,38.908473,-76.933099,15
31273,Hains Point/Buckeye & Ohio Dr SW,38.878433,-77.03023,17
31070,Arlington Blvd & Fillmore St,38.873755,-77.089233,11
31071,Long Bridge Park/Long Bridge Dr & 6th St S,38.86646,-77.04826,11
32039,Old Georgetown Rd & Southwick St,38.999634,-77.109647,19
32040,Friendship Blvd & Willard Ave,38.96115,-77.088659,19
31637,North Capitol St & G Pl NE,38.899703,-77.008911,19
31072,31st & Woodrow St S,38.837666,-77.09482,11
31073,Washington Blvd & Walter Reed Dr,38.873219,-77.082104,15
31074,TJ Cmty Ctr / 2nd St & S Old Glebe Rd,38.869418,-77.095596,15
31074,Thomas Jefferson Cmty Ctr / 2nd St S & Ivy,38.869418,-77.095596,15
31313,Connecticut Ave & Tilden St NW,38.941154,-77.062036,15
32041,Medical Center Dr & Key West Ave,39.103091,-77.196442,15
32042,Shady Grove Hospital,39.097636,-77.196636,19
32043,Veterans Pl & Pershing Dr,38.997445,-77.023894,11
32044,Rockville Metro East,39.085394,-77.145803,13
31638,1st & H St NW,38.900358,-77.012108,15
31515,Fort Totten Metro,38.952369,-77.002721,18
31408,Takoma Metro,38.975219,-77.016855,18
31516,Rhode Island Ave Metro,38.920682,-76.995876,19
31075,Rolfe St & 9th St S,38.866471,-77.076131,11
31076,Shirlington Transit Center / S Quincy & Randolph St,38.839912,-77.087083,15
32045,Shady Grove Metro West,39.119765,-77.166093,19
32046,River Rd & Landy Ln,38.964992,-77.103381,17
32047,Rockville Metro West,39.084379,-77.146866,19
32048,Bethesda Metro,38.984691,-77.094537,11
31077,Iwo Jima Memorial/N Meade & 14th St N,38.88992,-77.071301,19
31314,34th & Water St NW,38.903663,-77.067668,19
31081,Duke St & John Carlyle St,38.804378,-77.060866,15
31079,Lee Hwy & N Cleveland St,38.894941,-77.09169,15
31078,Arlington Blvd & S George Mason Dr/NFATC,38.869442,-77.104503,14
31274,10th & G St NW,38.898243,-77.026235,23
31274,MLK Library/9th & G St NW,38.898243,-77.026235,23
31080,Lee Hwy & N Scott St,38.897612,-77.080851,15
31275,New Hampshire Ave & 24th St NW,38.901755,-77.051084,19
31082,Eisenhower Ave & Mill Race Ln,38.801111,-77.068952,15
31083,Potomac Greens Dr & Slaters Ln,38.82175,-77.047494,11
31084,Ballenger Ave & Dulaney St,38.802677,-77.063562,19
31085,Mount Vernon Ave & E Nelson Ave,38.820064,-77.057619,11
31086,Mount Vernon Ave & E Del Ray Ave,38.82595,-77.058541,15
31087,Monroe Ave & Leslie Ave,38.820932,-77.053096,15
31088,Mount Vernon Ave & Kennedy St,38.833077,-77.059821,14
31089,Court House Metro / 15th & N Uhle St,38.890612,-77.084801,20
32049,Washington Adventist U / Flower Ave & Division St,38.986743,-77.000035,15
31090,6th & S Ball St,38.864702,-77.048672,15
31315,McKinley St & Connecticut Ave NW,38.96497,-77.075946,19
31276,15th & L St NW,38.90366,-77.034846,23
31277,17th & G St NW,38.89841,-77.039624,31
32050,Spring St & Second Ave,38.997653,-77.034499,15
31278,18th & R St NW,38.912648,-77.041834,19
31091,S Joyce & 16th St S,38.859254,-77.063275,15
31517,Union Market/6th St & Neal Pl NE,38.908008,-76.996985,23
